annotation,count
cytosine deaminase,2449
DUF1007 family protein,2448
sugar-binding domain-containing protein,2448
type IV pilus biogenesis protein PilM,2447
molecular chaperone,2447
MULTISPECIES: ribonucleotide-diphosphate reductase subunit beta,2446
UbiH/UbiF/VisC/COQ6 family ubiquinone biosynthesis hydroxylase,2445
prolyl-tRNA synthetase associated domain-containing protein,2445
futalosine hydrolase,2445
MULTISPECIES: Fic family protein,2444
MULTISPECIES: J domain-containing protein,2443
metabolite traffic protein EboE,2442
5-bromo-4-chloroindolyl phosphate hydrolysis family protein,2442
phosphonate metabolism transcriptional regulator PhnF,2441
MULTISPECIES: NADH-quinone oxidoreductase subunit NuoE,2441
AlkA N-terminal domain-containing protein,2441
DUF1489 family protein,2440
MULTISPECIES: arginine repressor,2440
DsrE/DsrF/DrsH-like family protein,2439
MULTISPECIES: YdcF family protein,2438
MULTISPECIES: xanthine phosphoribosyltransferase,2437
glycosyltransferase family 117 protein,2436
MULTISPECIES: RNA polymerase sigma factor RpoH,2436
cyanase,2436
Na(+)/H(+) antiporter subunit B,2435
CorA family divalent cation transporter,2434
DUF3127 domain-containing protein,2428
HAD-IIIC family phosphatase,2428
membrane-bound lytic murein transglycosylase MltF,2428
glutamine amidotransferase-related protein,2428
serine/threonine transporter SstT,2428
MULTISPECIES: GntP family permease,2428
cytochrome c biogenesis heme-transporting ATPase CcmA,2427
MULTISPECIES: ZIP family metal transporter,2425
periplasmic heavy metal sensor,2425
bestrophin-like domain,2425
protein meaA,2425
MULTISPECIES: HD-GYP domain-containing protein,2423
MULTISPECIES: peptidoglycan-associated lipoprotein Pal,2423
DUF2155 domain-containing protein,2423
electron transport complex subunit RsxA,2422
hemagglutinin repeat-containing protein,2422
metallopeptidase TldD-related protein,2421
heterodisulfide reductase-related iron-sulfur binding cluster,2421
YidB family protein,2421
carboxylate--amine ligase,2421
DUF4184 family protein,2420
DUF2946 domain-containing protein,2420
tRNA adenosine deaminase-associated protein,2419
formyltransferase family protein,2419
YMGG-like glycine zipper-containing protein,2419
DUF1963 domain-containing protein,2419
DUF3515 domain-containing protein,2416
DUF2079 domain-containing protein,2415
MULTISPECIES: shikimate kinase,2414
DUF3422 family protein,2413
MULTISPECIES: succinate dehydrogenase/fumarate reductase iron-sulfur subunit,2412
5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase,2412
DUF1835 domain-containing protein,2412
glycerol dehydrogenase,2412
MULTISPECIES: RNA polymerase sigma-70 factor,2411
MULTISPECIES: FMN-dependent NADH-azoreductase,2409
hydrogenase small subunit,2408
MULTISPECIES: flagellar motor switch protein FliN,2408
MULTISPECIES: rod shape-determining protein RodA,2407
MULTISPECIES: carbamoyl-phosphate synthase large subunit,2407
beta-mannosidase,2407
DUF5926 family protein,2406
MULTISPECIES: peptide chain release factor N(5)-glutamine methyltransferase,2405
amidohydrolase/deacetylase family metallohydrolase,2405
DUF2750 domain-containing protein,2404
stage V sporulation protein AD,2403
MULTISPECIES: 5'/3'-nucleotidase SurE,2403
YerC/YecD family TrpR-related protein,2402
MULTISPECIES: thymidylate synthase,2402
NADP(H)-dependent aldo-keto reductase,2402
methionine aminotransferase,2402
D-glycero-beta-D-manno-heptose-7-phosphate kinase,2402
DUF3224 domain-containing protein,2401
menaquinone biosynthetic enzyme MqnA/MqnD family protein,2400
MULTISPECIES: sulfurtransferase,2399
leucine-rich repeat protein,2398
MULTISPECIES: agmatinase,2398
protease SohB,2398
"galactofuranose ABC transporter, permease protein YjfF",2397
MULTISPECIES: HAD-IA family hydrolase,2397
MULTISPECIES: Rrf2 family transcriptional regulator,2397
"MULTISPECIES: succinate dehydrogenase, hydrophobic membrane anchor protein",2396
gliding motility lipoprotein GldH,2396
TrpB-like pyridoxal phosphate-dependent enzyme,2395
acylneuraminate cytidylyltransferase family protein,2394
HK97-gp10 family putative phage morphogenesis protein,2394
DUF2066 domain-containing protein,2394
MULTISPECIES: lipoyl(octanoyl) transferase LipB,2393
DNA-directed RNA polymerase subunit delta,2393
Trp biosynthesis-associated membrane protein,2393
MULTISPECIES: XRE family transcriptional regulator,2392
MucB/RseB C-terminal domain-containing protein,2391
MULTISPECIES: YggS family pyridoxal phosphate-dependent enzyme,2390
RbsD/FucU family protein,2389
DUF3429 domain-containing protein,2389
assimilatory sulfite reductase (NADPH) hemoprotein subunit,2388
MULTISPECIES: branched-chain amino acid aminotransferase,2388
RNA polymerase sigma factor RpoE,2387
MULTISPECIES: ribosome small subunit-dependent GTPase A,2386
DUF4396 domain-containing protein,2386
MULTISPECIES: Rpn family recombination-promoting nuclease/putative transposase,2386
RodZ domain-containing protein,2385
DUF975 family protein,2384
MULTISPECIES: DUF721 domain-containing protein,2383
nucleotide-binding protein,2382
conjugal transfer protein,2382
NepR family anti-sigma factor,2382
SAV_6107 family HEPN domain-containing protein,2382
EF-P 5-aminopentanol modification-associated protein YfmF,2381
type I restriction endonuclease,2379
ETC complex I subunit,2378
DUF1236 domain-containing protein,2378
bifunctional UDP-3-O-,2377
KAP family P-loop NTPase fold protein,2376
RNA polymerase sigma factor RpoS,2376
cobaltochelatase subunit CobS,2373
7-carboxy-7-deazaguanine synthase,2373
MULTISPECIES: enoyl-CoA hydratase-related protein,2373
BKACE family enzyme,2373
heat shock protein HspQ,2373
biopolymer transporter ExbD,2372
tRNA (uridine(54)-C5)-methyltransferase TrmA,2372
DUF1456 family protein,2371
MULTISPECIES: glutathione S-transferase N-terminal domain-containing protein,2371
MULTISPECIES: arginine--tRNA ligase,2370
heme-binding domain-containing protein,2370
MULTISPECIES: thiazole synthase,2370
ATP-dependent protease ATP-binding subunit ClpX,2368
MULTISPECIES: cytochrome c oxidase assembly protein,2368
DNA polymerase III subunit,2367
NADH:ubiquinone oxidoreductase subunit NDUFA12,2366
MULTISPECIES: DUF3817 domain-containing protein,2366
DUF1385 domain-containing protein,2366
dipeptidase PepE,2366
YcjX family protein,2366
ribonuclease E inhibitor RraB,2365
MULTISPECIES: class II fumarate hydratase,2364
MULTISPECIES: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,2363
MULTISPECIES: glutamyl-tRNA reductase,2362
YcnI family copper-binding membrane protein,2360
MULTISPECIES: flagellar motor switch protein FliM,2360
MULTISPECIES: LOG family protein,2360
MULTISPECIES: replication-associated recombination protein A,2358
MULTISPECIES: YqaE/Pmp3 family membrane protein,2357
UPF0262 family protein,2357
DUF2334 domain-containing protein,2357
glycerol-3-phosphate 1-O-acyltransferase PlsB,2356
DUF4169 family protein,2356
MULTISPECIES: ribonuclease J,2356
DUF2628 domain-containing protein,2356
flavocytochrome c,2355
ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB,2355
PPE domain-containing protein,2354
septum formation initiator family protein,2354
DUF2017 domain-containing protein,2354
MULTISPECIES: ferric iron uptake transcriptional regulator,2353
N-acetyl-D-Glu racemase DgcA,2353
FAD-binding domain-containing protein,2352
DUF5753 domain-containing protein,2351
MULTISPECIES: GTP cyclohydrolase II,2351
3'-5' exoribonuclease YhaM family protein,2350
DUF2243 domain-containing protein,2349
YaaA family protein,2349
BRO-N domain-containing protein,2348
DUF6986 family protein,2348
MULTISPECIES: radical SAM protein,2348
DUF1467 family protein,2347
MULTISPECIES: hydrolase,2345
glycosyltransferase family 32 protein,2344
RsmE family RNA methyltransferase,2343
MULTISPECIES: ATP-dependent chaperone ClpB,2342
Tm-1-like ATP-binding domain-containing protein,2342
MULTISPECIES: acylphosphatase,2339
phage tail sheath subtilisin-like domain-containing protein,2339
PTS transporter subunit IIC,2337
DUF5131 family protein,2337
MULTISPECIES: adenosylhomocysteinase,2336
ectoine hydroxylase,2336
MULTISPECIES: ribosome assembly RNA-binding protein YhbY,2336
BT_3928 family protein,2333
DUF4290 domain-containing protein,2333
DUF7507 domain-containing protein,2330
cbb3-type cytochrome oxidase subunit 3,2330
MULTISPECIES: Flp family type IVb pilin,2329
DUF6538 domain-containing protein,2328
RNA ligase family protein,2328
quaternary ammonium compound efflux SMR transporter SugE,2328
citryl-CoA lyase,2327
protealysin inhibitor emfourin,2327
dimethyl sulfoxide reductase anchor subunit family protein,2327
DUF5723 family protein,2327
DUF1656 domain-containing protein,2326
IS1096 element passenger TnpR family protein,2326
DUF4430 domain-containing protein,2326
MULTISPECIES: PLP-dependent cysteine synthase family protein,2326
FMNH2-dependent alkanesulfonate monooxygenase,2326
DUF7455 domain-containing protein,2326
DUF4256 domain-containing protein,2325
MULTISPECIES: glucose-6-phosphate isomerase,2325
RNA polymerase sigma factor SigM,2325
MULTISPECIES: uridine kinase,2324
DUF6542 domain-containing protein,2324
BtrH N-terminal domain-containing protein,2324
MULTISPECIES: tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA,2322
molybdopterin synthase catalytic subunit MoaE,2321
DUF2726 domain-containing protein,2319
formate dehydrogenase beta subunit,2319
CU044_2847 family protein,2318
phospholipase,2318
type I-E CRISPR-associated protein Cas7/Cse4/CasC,2318
type I-E CRISPR-associated protein Cas5/CasD,2317
MULTISPECIES: serine/threonine protein kinase,2316
MULTISPECIES: diacylglycerol/lipid kinase family protein,2316
class C sortase,2316
formate dehydrogenase accessory protein FdhE,2315
HK97 gp10 family phage protein,2314
LiaF transmembrane domain-containing protein,2313
acyl carrier protein phosphodiesterase,2313
ScbR family autoregulator-binding transcription factor,2313
MULTISPECIES: MMPL family transporter,2312
NDMA-dependent alcohol dehydrogenase,2312
c-type cytochrome domain-containing protein,2311
"2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase",2311
"dTDP-4-amino-4,6-dideoxygalactose transaminase",2311
Vgb family protein,2311
NINE protein,2310
MULTISPECIES: DNA gyrase subunit A,2309
MULTISPECIES: threonine/serine exporter family protein,2308
MDR family oxidoreductase,2308
MULTISPECIES: chemotaxis response regulator CheY,2307
ORF6N domain-containing protein,2306
high frequency lysogenization protein HflD,2306
YihY family inner membrane protein,2305
MULTISPECIES: TonB-dependent siderophore receptor,2305
DUF2480 family protein,2303
electron transport complex subunit E,2302
dipeptidase PepV,2302
"alpha,alpha-phosphotrehalase",2302
MULTISPECIES: cation transporter,2301
bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada,2301
iron ABC transporter substrate-binding protein,2300
DUF1700 domain-containing protein,2300
VF530 family protein,2299
type I-E CRISPR-associated protein Cse1/CasA,2299
MULTISPECIES: MOSC domain-containing protein,2299
MULTISPECIES: quinolinate synthase NadA,2297
MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,2297
DUF5709 domain-containing protein,2297
nucleotide 5'-monophosphate nucleosidase PpnN,2296
assimilatory sulfite reductase (NADPH) flavoprotein subunit,2296
tryptophan-rich sensory protein,2295
3' terminal RNA ribose 2'-O-methyltransferase Hen1,2295
DUF1476 domain-containing protein,2294
MULTISPECIES: bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,2294
MULTISPECIES: UDP-N-acetylmuramate dehydrogenase,2293
"FAD-dependent oxidoreductase, partial",2293
DUF4174 domain-containing protein,2293
formate dehydrogenase subunit delta,2293
glycerate kinase family protein,2292
high-affinity branched-chain amino acid ABC transporter permease LivM,2292
NADP-dependent glyceraldehyde-3-phosphate dehydrogenase,2291
two-partner secretion domain-containing protein,2290
MULTISPECIES: alanine dehydrogenase,2290
diaminopropionate ammonia-lyase,2290
LEA type 2 family protein,2290
SirB2 family protein,2290
DcaP family trimeric outer membrane transporter,2290
maleylacetate reductase,2289
MULTISPECIES: sodium:solute symporter family protein,2287
polynucleotide kinase-phosphatase,2287
DUF3068 domain-containing protein,2286
type VI secretion system-associated FHA domain protein TagH,2286
L-idonate 5-dehydrogenase,2285
MULTISPECIES: DUF350 domain-containing protein,2285
type IV toxin-antitoxin system AbiEi family antitoxin,2284
cysteine hydrolase,2284
MULTISPECIES: septal ring lytic transglycosylase RlpA family protein,2282
DUF1599 domain-containing protein,2281
V-type ATP synthase subunit A,2281
MULTISPECIES: DNA polymerase IV,2280
MULTISPECIES: MlaD family protein,2280
DUF736 domain-containing protein,2279
MULTISPECIES: DUF883 family protein,2279
Scr1 family TA system antitoxin-like transcriptional regulator,2278
RnfABCDGE type electron transport complex subunit B,2278
cupin,2277
MULTISPECIES: large conductance mechanosensitive channel protein MscL,2276
iron donor protein CyaY,2276
MULTISPECIES: anthranilate phosphoribosyltransferase,2276
MULTISPECIES: phosphoribosylamine--glycine ligase,2276
alkaline phosphatase PafA,2276
oligopeptidase A,2275
DUF819 family protein,2274
DUF3987 domain-containing protein,2274
MULTISPECIES: DNA-3-methyladenine glycosylase I,2274
23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE,2273
M48 metallopeptidase family protein,2272
DUF6531 domain-containing protein,2272
MULTISPECIES: glucose-1-phosphate adenylyltransferase,2272
DUF1918 domain-containing protein,2271
K+/H+ antiporter subunit F,2271
ribosome biogenesis GTPase YqeH,2270
type ISP restriction/modification enzyme,2270
AmmeMemoRadiSam system radical SAM enzyme,2270
"1,4-dihydroxy-6-naphthoate synthase",2270
DUF4388 domain-containing protein,2268
DUF6114 domain-containing protein,2268
SPW repeat protein,2268
MULTISPECIES: protein TolQ,2268
penicillin-binding protein 1B,2267
MULTISPECIES: type I DNA topoisomerase,2267
electron transport complex subunit RsxG,2267
F0F1 ATP synthase subunit B family protein,2267
MULTISPECIES: indole-3-glycerol phosphate synthase TrpC,2265
tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,2265
redoxin family protein,2265
pur operon repressor,2265
S-methyl-5-thioribose kinase,2265
MULTISPECIES: IS110 family transposase,2264
MULTISPECIES: aspartate/glutamate racemase family protein,2264
Xaa-Pro aminopeptidase,2263
adenosylcobinamide amidohydrolase,2262
SLATT domain-containing protein,2262
MULTISPECIES: methylglyoxal synthase,2261
sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB,2261
DUF5995 family protein,2260
MULTISPECIES: 3-dehydroquinate synthase,2259
ChrR family anti-sigma-E factor,2259
DNA polymerase domain-containing protein,2258
MULTISPECIES: excinuclease ABC subunit UvrC,2257
plastocyanin/azurin family copper-binding protein,2257
MazG-like family protein,2255
MULTISPECIES: NADH-quinone oxidoreductase subunit C,2254
FAD assembly factor SdhE,2254
DUF5996 family protein,2254
LicD family protein,2254
MULTISPECIES: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,2253
DUF2000 domain-containing protein,2253
DUF3810 domain-containing protein,2252
TIGR02300 family protein,2251
type I-E CRISPR-associated protein Cse2/CasB,2251
transcriptional repressor,2250
MULTISPECIES: glutaredoxin 3,2250
MULTISPECIES: phosphoribosyltransferase,2249
MULTISPECIES: N-acetyl-gamma-glutamyl-phosphate reductase,2248
MULTISPECIES: bile acid:sodium symporter family protein,2248
peptidase associated/transthyretin-like domain-containing protein,2247
"MULTISPECIES: integration host factor, actinobacterial type",2246
DUF899 family protein,2246
cell division protein ZapD,2246
MULTISPECIES: YbjN domain-containing protein,2245
rhamnose ABC transporter substrate-binding protein,2243
MULTISPECIES: molybdopterin-dependent oxidoreductase,2242
MULTISPECIES: S9 family peptidase,2242
MULTISPECIES: homoserine kinase,2241
DUF4394 domain-containing protein,2241
SphA family protein,2241
MULTISPECIES: oligoribonuclease,2240
MULTISPECIES: biotin synthase BioB,2240
cbb3-type cytochrome c oxidase N-terminal domain-containing protein,2239
MULTISPECIES: ferrochelatase,2239
MULTISPECIES: BMC domain-containing protein,2239
thiopurine S-methyltransferase,2238
glycoside hydrolase family 53 protein,2238
LD-carboxypeptidase,2237
type I pullulanase,2237
DUF6503 family protein,2237
DUF1538 domain-containing protein,2235
acetolactate decarboxylase,2235
proteasome assembly chaperone family protein,2235
"phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN",2235
MULTISPECIES: methionine--tRNA ligase,2235
aspartate--ammonia ligase,2234
PLP-dependent transferase,2234
MULTISPECIES: peptidoglycan DD-metalloendopeptidase family protein,2234
MULTISPECIES: pyridoxamine 5'-phosphate oxidase,2234
HmuY family protein,2234
"small, acid-soluble spore protein, alpha/beta type",2233
DUF1266 domain-containing protein,2233
MULTISPECIES: xanthine dehydrogenase family protein molybdopterin-binding subunit,2233
ABC transporter substrate-binding protein/permease,2232
CtsR family transcriptional regulator,2232
MULTISPECIES: RNA polymerase sigma factor SigF,2232
"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",2231
primary-amine oxidase,2231
MULTISPECIES: peptide ABC transporter substrate-binding protein,2230
MULTISPECIES: CidA/LrgA family protein,2229
MULTISPECIES: porin family protein,2229
MULTISPECIES: phosphotransferase,2228
IS982 family transposase,2228
cytochrome bc1 complex Rieske iron-sulfur subunit,2228
oxygen-insensitive NADPH nitroreductase,2228
citrate synthase 2,2228
iron-sulfur cluster repair di-iron protein,2227
histidine kinase dimerization/phospho-acceptor domain-containing protein,2226
GMC family oxidoreductase N-terminal domain-containing protein,2226
MULTISPECIES: phosphoribosyl-AMP cyclohydrolase,2225
CRISPR-associated endoribonuclease Cas6,2225
DUF1203 domain-containing protein,2224
EutN/CcmL family microcompartment protein,2224
MULTISPECIES: BCCT family transporter,2224
DUF1643 domain-containing protein,2224
cytochrome C,2223
Fe-S cluster assembly transcriptional regulator IscR,2222
CBU_0592 family membrane protein,2222
LpxL/LpxP family acyltransferase,2222
DUF2794 domain-containing protein,2220
DUF1045 domain-containing protein,2219
carbonic anhydrase family protein,2218
SymE family type I addiction module toxin,2218
DUF3140 domain-containing protein,2215
MULTISPECIES: tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,2215
MacB family efflux pump subunit,2215
MULTISPECIES: DNA polymerase III subunit alpha,2214
DUF1513 domain-containing protein,2214
respiratory chain complex I subunit 1 family protein,2214
DUF3426 domain-containing protein,2213
styrene monooxygenase/indole monooxygenase family protein,2212
MULTISPECIES: relaxase/mobilization nuclease domain-containing protein,2211
V-type ATP synthase subunit I,2210
PBP1A family penicillin-binding protein,2210
C4-dicarboxylate transporter DctA,2210
flagellar motor protein,2209
gliding motility-associated ABC transporter substrate-binding protein GldG,2209
DUF5666 domain-containing protein,2209
MULTISPECIES: outer membrane protein assembly factor BamE,2209
DUF6428 family protein,2206
NAD-dependent protein deacylase,2206
MNIO family bufferin maturase,2206
MacS family sensor histidine kinase,2205
MULTISPECIES: protease modulator HflC,2205
D-sedoheptulose 7-phosphate isomerase,2203
ATP-grasp fold amidoligase family protein,2203
MULTISPECIES: RNA recognition motif domain-containing protein,2203
heavy metal response regulator transcription factor,2203
VirB4 family type IV secretion system protein,2202
DUF7133 domain-containing protein,2202
DUF2849 domain-containing protein,2201
bifunctional biotin--,2201
sn-glycerol-3-phosphate ABC transporter permease UgpE,2201
malonate--CoA ligase,2201
MULTISPECIES:,2200
MazG family protein,2200
phosphate-starvation-inducible PsiE family protein,2200
arsenate-mycothiol transferase ArsC,2199
fatty acid--CoA ligase,2198
sodium-extruding oxaloacetate decarboxylase subunit alpha,2198
sulfurtransferase complex subunit TusD,2198
DUF3833 domain-containing protein,2198
DUF5686 and carboxypeptidase-like regulatory domain-containing protein,2197
DUF4389 domain-containing protein,2196
DUF2179 domain-containing protein,2196
GerW family sporulation protein,2196
DUF2842 domain-containing protein,2195
MULTISPECIES: flagellar motor stator protein MotA,2195
DUF6461 domain-containing protein,2195
MULTISPECIES: alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB,2194
MULTISPECIES: endolytic transglycosylase MltG,2194
D-erythronate dehydrogenase,2193
putative nucleotidyltransferase substrate binding domain-containing protein,2193
DUF2812 domain-containing protein,2192
iron-sulfur cluster biosynthesis family protein,2192
MULTISPECIES: CoA-acylating methylmalonate-semialdehyde dehydrogenase,2191
family 10 glycosylhydrolase,2191
DUF2058 domain-containing protein,2190
DUF3090 domain-containing protein,2189
cytochrome c biogenesis protein,2188
UPF0182 family membrane protein,2188
beta-propeller domain-containing protein,2187
NarK family nitrate/nitrite MFS transporter,2187
fatty acid oxidation complex subunit alpha FadB,2187
DUF1858 domain-containing protein,2186
DUF3098 domain-containing protein,2186
DRTGG domain-containing protein,2186
DUF2182 domain-containing protein,2185
YcgL domain-containing protein,2185
YadA-like family protein,2185
elongation factor P 5-aminopentanone reductase,2184
amino acid deaminase/aldolase,2184
MULTISPECIES: ADP-ribosylglycohydrolase family protein,2184
monocarboxylate uptake permease MctP,2183
ectoine/hydroxyectoine ABC transporter permease subunit EhuD,2183
phosphoenolpyruvate hydrolase family protein,2183
ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA,2183
ubiquinone anaerobic biosynthesis protein UbiU,2183
DEDD exonuclease domain-containing protein,2181
phenylacetic acid degradation protein PaaN,2181
DUF5522 domain-containing protein,2181
type VI secretion system-associated protein TagF,2180
EthD domain-containing protein,2180
Rv2578c family radical SAM protein,2180
acireductone synthase,2180
chromate resistance protein ChrB domain-containing protein,2179
MULTISPECIES: site-2 protease family protein,2179
DNA polymerase II,2178
PFL family protein,2176
GNAT family acetyltransferase,2176
"MULTISPECIES: GTP 3',8-cyclase MoaA",2175
DUF2460 domain-containing protein,2175
urea amidolyase associated protein UAAP2,2175
conjugative transposon protein TraM,2174
DUF4870 family protein,2174
MULTISPECIES: cysteine desulfurase family protein,2172
ubiquinone anaerobic biosynthesis accessory factor UbiT,2171
"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain",2171
DUF6230 family protein,2171
cytochrome bc1 complex diheme cytochrome c subunit,2170
class IV adenylate cyclase,2170
MULTISPECIES: tellurite resistance TerB family protein,2169
MULTISPECIES: leucyl aminopeptidase,2169
aa3-type cytochrome oxidase subunit II,2168
OadG family protein,2168
MULTISPECIES: transaldolase,2168
N-carbamoylputrescine amidase,2168
NADH:flavin oxidoreductase/NADH oxidase family protein,2167
aldolase/citrate lyase family protein,2167
DUF4105 domain-containing protein,2167
MULTISPECIES: lipopolysaccharide biosynthesis protein,2165
alpha-D-glucose phosphate-specific phosphoglucomutase,2165
DUF4180 domain-containing protein,2165
bifunctional glycosyltransferase family 2/GtrA family protein,2165
MULTISPECIES: PIN domain-containing protein,2164
MULTISPECIES: aromatic ring-hydroxylating oxygenase subunit alpha,2163
succinylglutamate desuccinylase,2161
thiamine ABC transporter substrate-binding protein,2161
outer membrane lipoprotein carrier protein LolA,2161
MULTISPECIES: 1-(5-phosphoribosyl)-5-,2161
MULTISPECIES: shikimate dehydrogenase,2160
MspA family porin,2160
"RHS repeat-associated core domain-containing protein, partial",2160
MULTISPECIES: histidinol dehydrogenase,2160
3-oxoacyl-ACP synthase,2160
MULTISPECIES: low molecular weight protein-tyrosine-phosphatase,2159
MULTISPECIES: 3-deoxy-8-phosphooctulonate synthase,2157
Fe-S protein assembly co-chaperone HscB,2157
MULTISPECIES: L-serine ammonia-lyase,2157
DUF5667 domain-containing protein,2156
MULTISPECIES: UDP-3-O-acyl-N-acetylglucosamine deacetylase,2156
SdiA-regulated domain-containing protein,2156
IS1 family transposase,2156
ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase,2154
PhnE/PtxC family ABC transporter permease,2154
lipase family alpha/beta hydrolase,2153
MULTISPECIES: 1-deoxy-D-xylulose-5-phosphate synthase,2152
agmatinase family protein,2152
NapC/NirT family cytochrome c,2150
organoarsenical effux MFS transporter ArsJ,2150
MULTISPECIES: 1-deoxy-D-xylulose-5-phosphate reductoisomerase,2150
type IVB secretion system protein IcmH/DotU,2149
DUF4166 domain-containing protein,2149
ergothioneine biosynthesis protein EgtC,2148
C-terminal binding protein,2147
MULTISPECIES: Mrp/NBP35 family ATP-binding protein,2147
Fe-S cluster assembly scaffold IscU,2146
segregation/condensation protein A,2146
23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,2146
elongation factor G-like protein EF-G2,2146
cysteine dioxygenase family protein,2145
MORN repeat-containing protein,2145
MULTISPECIES: site-specific tyrosine recombinase XerD,2144
glycosyl transferase family protein,2143
MULTISPECIES: aminotransferase-like domain-containing protein,2143
DUF6443 domain-containing protein,2142
Wadjet anti-phage system protein JetD domain-containing protein,2141
Jag family protein,2141
trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase,2141
DUF1778 domain-containing protein,2140
COG4705 family protein,2140
sensor histidine kinase NtrY-like,2139
urea amidolyase associated protein UAAP1,2138
MULTISPECIES: catalase,2138
triphosphoribosyl-dephospho-CoA synthase,2138
MoxR family ATPase,2138
MULTISPECIES: ribonuclease D,2138
MULTISPECIES: 50S ribosomal protein L11 methyltransferase,2136
TrmB family transcriptional regulator,2135
DUF2232 domain-containing protein,2135
MULTISPECIES: type II toxin-antitoxin system HicA family toxin,2134
EboA domain-containing protein,2133
sulfonate ABC transporter substrate-binding protein,2132
sugar isomerase domain-containing protein,2132
MULTISPECIES: HlyC/CorC family transporter,2132
DUF378 domain-containing protein,2132
IspD/TarI family cytidylyltransferase,2131
DUF2891 domain-containing protein,2130
sulfate transporter CysZ,2130
gliding motility lipoprotein GldD,2130
"MULTISPECIES: glutamate-1-semialdehyde 2,1-aminomutase",2130
YwbE family protein,2129
asparaginase domain-containing protein,2128
MULTISPECIES: biotin transporter BioY,2126
adenylyltransferase/sulfurtransferase MoeZ,2125
DUF5689 domain-containing protein,2125
class I poly(R)-hydroxyalkanoic acid synthase,2124
6-carboxytetrahydropterin synthase,2124
DUF2927 domain-containing protein,2123
MULTISPECIES: isocitrate lyase,2123
MULTISPECIES: D-alanine--D-alanine ligase,2123
MULTISPECIES: type II toxin-antitoxin system RatA family toxin,2123
nitric-oxide reductase large subunit,2122
DUF4170 domain-containing protein,2122
protein YgfX,2122
reverse transcriptase family protein,2121
PACE efflux transporter,2121
PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,2120
anti-sigma factor domain-containing protein,2120
DUF6456 domain-containing protein,2120
YVTN family beta-propeller repeat protein,2118
formamidase,2118
MULTISPECIES: GTPase HflX,2117
taurine ABC transporter substrate-binding protein,2117
MULTISPECIES: TVP38/TMEM64 family protein,2117
nitric oxide synthase oxygenase,2116
"MULTISPECIES: bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",2116
MULTISPECIES: KH domain-containing protein,2116
phosphonate ABC transporter substrate-binding protein,2115
BACON domain-containing protein,2114
bifunctional sugar phosphate isomerase/epimerase/4-hydroxyphenylpyruvate dioxygenase family protein,2114
MULTISPECIES: flagellar type III secretion system pore protein FliP,2114
host attachment protein,2113
V-type ATP synthase subunit D,2112
translesion DNA synthesis-associated protein ImuA,2112
HAD-IIIA family hydrolase,2112
ABC transporter,2112
YheC/YheD family endospore coat-associated protein,2111
two-component system regulatory protein YycI,2111
MULTISPECIES: Hsp20 family protein,2110
histidine kinase dimerization/phosphoacceptor domain -containing protein,2110
MULTISPECIES: GlcG/HbpS family heme-binding protein,2110
flagella synthesis protein FlgN,2110
arsenosugar biosynthesis radical SAM (seleno)protein ArsS,2110
MULTISPECIES: Na+/H+ antiporter subunit E,2109
bifunctional protein-serine/threonine kinase/phosphatase,2109
DUF2924 domain-containing protein,2109
DUF6458 family protein,2108
MULTISPECIES: M15 family metallopeptidase,2108
motility associated factor glycosyltransferase family protein,2107
DUF4062 domain-containing protein,2106
MULTISPECIES: histidine triad nucleotide-binding protein,2106
DUF4293 domain-containing protein,2103
rubrerythrin,2102
MULTISPECIES: ubiquitin-like protein Pup,2100
MULTISPECIES: oxidative damage protection protein,2100
DUF4175 family protein,2099
protein arginine kinase,2099
YbaY family lipoprotein,2098
FtsL-like putative cell division protein,2098
peptidoglycan -binding protein,2098
RAMP superfamily CRISPR-associated protein,2097
MULTISPECIES: sugar kinase,2097
