annotation,count
MULTISPECIES: MarR family winged helix-turn-helix transcriptional regulator,38392
transporter substrate-binding domain-containing protein,38366
TlpA family protein disulfide reductase,38334
EamA family transporter,38190
DeoR/GlpR family DNA-binding transcription regulator,38097
hemolysin family protein,37921
TRAP transporter substrate-binding protein,37502
FecR family protein,37237
sugar ABC transporter ATP-binding protein,37144
DUF58 domain-containing protein,37035
MULTISPECIES: VOC family protein,37018
DUF397 domain-containing protein,36951
FKBP-type peptidyl-prolyl cis-trans isomerase,36571
pseudouridine synthase,36476
MULTISPECIES: ATP-binding protein,36346
lytic transglycosylase domain-containing protein,36297
M20/M25/M40 family metallo-hydrolase,36067
M48 family metallopeptidase,36062
O-antigen ligase family protein,35964
MULTISPECIES: SDR family oxidoreductase,35912
nucleotidyltransferase family protein,35817
IS3 family transposase,35540
Uma2 family endonuclease,35413
GlxA family transcriptional regulator,35346
Ig-like domain-containing protein,35105
signal peptidase I,35016
energy transducer TonB,34990
pentapeptide repeat-containing protein,34981
ATP-grasp domain-containing protein,34959
DegT/DnrJ/EryC1/StrS family aminotransferase,34907
aminotransferase class V-fold PLP-dependent enzyme,34895
LysM peptidoglycan-binding domain-containing protein,34841
PucR family transcriptional regulator,34829
porin,34727
acyl carrier protein,34637
site-specific integrase,34318
N-acetylmuramoyl-L-alanine amidase,34185
dienelactone hydrolase family protein,34181
MULTISPECIES: cold-shock protein,33911
YceI family protein,33817
type II toxin-antitoxin system VapC family toxin,33772
TonB-dependent receptor plug domain-containing protein,33744
OsmC family protein,33470
xanthine dehydrogenase family protein molybdopterin-binding subunit,33406
single-stranded DNA-binding protein,33328
peroxiredoxin,33259
acyl-CoA dehydrogenase,33231
PQQ-dependent sugar dehydrogenase,33211
dihydrolipoyl dehydrogenase,32944
MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase,32911
MULTISPECIES: class I SAM-dependent methyltransferase,32902
TetR family transcriptional regulator,32867
SulP family inorganic anion transporter,32752
MULTISPECIES: GntR family transcriptional regulator,32651
"L,D-transpeptidase family protein",32611
DedA family protein,32536
NADP-dependent oxidoreductase,32501
sensor domain-containing diguanylate cyclase,32486
RDD family protein,32484
pirin family protein,32454
potassium channel family protein,32446
rhomboid family intramembrane serine protease,32350
MaoC family dehydratase,32241
LCP family protein,32138
class I adenylate-forming enzyme family protein,32109
PAS domain S-box protein,32069
Fur family transcriptional regulator,31744
HlyD family secretion protein,31669
oxidoreductase,31661
GAF domain-containing protein,31617
cold-shock protein,31537
serine hydrolase,31518
MMPL family transporter,31502
adenylate/guanylate cyclase domain-containing protein,31384
"L,D-transpeptidase",31377
2-hydroxyacid dehydrogenase,31312
LuxR C-terminal-related transcriptional regulator,31234
TRAP transporter small permease,31154
ParB/RepB/Spo0J family partition protein,31103
peptide deformylase,30904
SPFH domain-containing protein,30856
SMP-30/gluconolactonase/LRE family protein,30831
acyltransferase,30810
ROK family transcriptional regulator,30786
acetyl-CoA C-acetyltransferase,30447
outer membrane beta-barrel protein,30355
TrmH family RNA methyltransferase,30276
PLP-dependent aminotransferase family protein,30256
type I methionyl aminopeptidase,30238
PAS domain-containing protein,30076
transketolase,29981
MurR/RpiR family transcriptional regulator,29806
MULTISPECIES: Lrp/AsnC family transcriptional regulator,29796
non-ribosomal peptide synthetase,29783
transglycosylase domain-containing protein,29773
TatD family hydrolase,29728
S8 family peptidase,29679
alanine racemase,29643
dihydrodipicolinate synthase family protein,29542
sugar ABC transporter substrate-binding protein,29497
phage tail protein,29469
inositol monophosphatase family protein,29416
GIY-YIG nuclease family protein,29245
SpoIIE family protein phosphatase,29177
MULTISPECIES: alpha/beta fold hydrolase,29095
NADPH-dependent FMN reductase,29073
VWA domain-containing protein,28957
phage holin family protein,28922
efflux transporter outer membrane subunit,28901
TonB-dependent receptor domain-containing protein,28897
FUSC family protein,28882
zinc-binding dehydrogenase,28537
ferritin-like domain-containing protein,28532
MDR family MFS transporter,28495
flavin-containing monooxygenase,28260
GMC family oxidoreductase,28242
excinuclease ABC subunit UvrA,28152
NAD(P)H-dependent oxidoreductase,28105
dihydroorotase,28047
4Fe-4S dicluster domain-containing protein,27915
phosphotransferase family protein,27863
lipopolysaccharide biosynthesis protein,27815
uracil-DNA glycosylase,27801
sugar transferase,27721
DsbA family protein,27616
phosphotransferase,27506
S1C family serine protease,27477
SLC13 family permease,27473
exodeoxyribonuclease III,27399
molybdopterin-dependent oxidoreductase,27180
elongation factor G,27031
3'-5' exonuclease,27008
2Fe-2S iron-sulfur cluster-binding protein,26915
YihY/virulence factor BrkB family protein,26913
right-handed parallel beta-helix repeat-containing protein,26831
M24 family metallopeptidase,26713
protein kinase domain-containing protein,26617
M1 family metallopeptidase,26597
carbohydrate kinase family protein,26460
phytoene desaturase family protein,26450
L-threonylcarbamoyladenylate synthase,26369
ExbD/TolR family protein,26256
carbon-nitrogen hydrolase family protein,26252
DHA2 family efflux MFS transporter permease subunit,26227
carboxypeptidase-like regulatory domain-containing protein,26220
MULTISPECIES: DMT family transporter,26171
MULTISPECIES: AAA family ATPase,26160
chemotaxis protein CheW,26156
NAD(P)H-dependent flavin oxidoreductase,25762
PilZ domain-containing protein,25721
"transposase, partial",25715
zinc ribbon domain-containing protein,25656
NAD-dependent succinate-semialdehyde dehydrogenase,25590
sterol desaturase family protein,25572
CDP-alcohol phosphatidyltransferase family protein,25552
histidinol-phosphate transaminase,25524
thiolase family protein,25517
PhoH family protein,25509
radical SAM protein,25479
D-alanyl-D-alanine carboxypeptidase family protein,25479
glycerophosphodiester phosphodiesterase,25469
AfsR/SARP family transcriptional regulator,25264
MULTISPECIES: ArsR/SmtB family transcription factor,25190
methylated-DNA--,25149
SPOR domain-containing protein,25110
substrate-binding periplasmic protein,25046
AEC family transporter,25014
FHA domain-containing protein,25009
FAD binding domain-containing protein,24663
aminoglycoside phosphotransferase family protein,24636
alkaline phosphatase family protein,24632
PTS sugar transporter subunit IIA,24575
acyl-CoA carboxylase subunit beta,24535
glycoside hydrolase family 43 protein,24485
MULTISPECIES: alpha/beta hydrolase,24460
TerC family protein,24371
dipeptidase,24296
HEAT repeat domain-containing protein,24156
type II toxin-antitoxin system Phd/YefM family antitoxin,24148
GFA family protein,24102
putative quinol monooxygenase,24097
metal-dependent hydrolase,24069
HNH endonuclease signature motif containing protein,24061
NAD(P)-dependent alcohol dehydrogenase,24055
peptide-methionine (S)-S-oxide reductase MsrA,24004
ATP-dependent helicase,23935
PAS domain-containing sensor histidine kinase,23853
MotA/TolQ/ExbB proton channel family protein,23840
DNA polymerase III subunit alpha,23807
HD-GYP domain-containing protein,23787
ammonium transporter,23590
metal ABC transporter permease,23576
MULTISPECIES: RNA polymerase sigma factor,23503
MOSC domain-containing protein,23443
phytanoyl-CoA dioxygenase family protein,23443
MULTISPECIES: acyl carrier protein,23441
SH3 domain-containing protein,23409
iron-containing alcohol dehydrogenase,23334
MCE family protein,23330
acetyl-CoA carboxylase biotin carboxylase subunit,23287
MULTISPECIES: LacI family DNA-binding transcriptional regulator,23105
enoyl-CoA hydratase-related protein,23097
LLM class F420-dependent oxidoreductase,23094
threonine synthase,23044
restriction endonuclease subunit S,23029
Hsp20/alpha crystallin family protein,23024
glutamate--tRNA ligase,23004
nucleotidyltransferase domain-containing protein,22991
thioredoxin,22951
MULTISPECIES: tetratricopeptide repeat protein,22932
S-layer homology domain-containing protein,22918
thiamine phosphate synthase,22868
DNA polymerase IV,22776
Fic family protein,22691
FtsX-like permease family protein,22676
HIT family protein,22596
"cob(I)yrinic acid a,c-diamide adenosyltransferase",22553
UvrD-helicase domain-containing protein,22548
(Fe-S)-binding protein,22511
prolipoprotein diacylglyceryl transferase,22488
type I glyceraldehyde-3-phosphate dehydrogenase,22474
VanZ family protein,22471
serine/threonine protein kinase,22424
dihydropteroate synthase,22409
cysteine hydrolase family protein,22328
cysteine desulfurase family protein,22300
HAMP domain-containing sensor histidine kinase,22247
methionyl-tRNA formyltransferase,22227
ATP-dependent zinc metalloprotease FtsH,22201
chaperonin GroEL,22187
serine hydroxymethyltransferase,22122
TadE/TadG family type IV pilus assembly protein,22114
hemerythrin domain-containing protein,22057
4-hydroxy-tetrahydrodipicolinate synthase,21979
aldehyde dehydrogenase,21948
SCO family protein,21935
dicarboxylate/amino acid:cation symporter,21922
UDP-N-acetylglucosamine 1-carboxyvinyltransferase,21907
ArnT family glycosyltransferase,21896
MULTISPECIES: acyl-CoA dehydrogenase family protein,21832
TonB-dependent siderophore receptor,21804
aspartate kinase,21797
zinc-dependent alcohol dehydrogenase,21717
UDP-glucose 4-epimerase GalE,21587
nucleoside deaminase,21537
tryptophan--tRNA ligase,21469
Cof-type HAD-IIB family hydrolase,21458
M15 family metallopeptidase,21439
NAD(P)H-binding protein,21402
ferredoxin,21381
HU family DNA-binding protein,21359
phosphatidate cytidylyltransferase,21346
pyruvate kinase,21276
dihydroxy-acid dehydratase,21243
arginine--tRNA ligase,21233
methyltransferase,21211
DNA primase,21203
PepSY-associated TM helix domain-containing protein,21160
DNA-processing protein DprA,21129
UDP-N-acetylmuramate--L-alanine ligase,21090
diacylglycerol/lipid kinase family protein,21085
NAD-dependent DNA ligase LigA,21085
molecular chaperone DnaJ,21061
uroporphyrinogen-III C-methyltransferase,21031
sulfatase-like hydrolase/transferase,21027
MULTISPECIES: MerR family transcriptional regulator,20985
GtrA family protein,20947
valine--tRNA ligase,20897
threonine--tRNA ligase,20890
zinc-dependent alcohol dehydrogenase family protein,20881
alpha-amylase family glycosyl hydrolase,20869
beta-ketoacyl-ACP synthase III,20863
aspartate-semialdehyde dehydrogenase,20846
ACP S-malonyltransferase,20825
porin family protein,20817
proline--tRNA ligase,20801
histidinol dehydrogenase,20777
methionine--tRNA ligase,20748
YbaB/EbfC family nucleoid-associated protein,20715
CAP domain-containing protein,20696
type I polyketide synthase,20634
flavodoxin family protein,20628
NYN domain-containing protein,20578
isoleucine--tRNA ligase,20575
