value
antibiotic resistance protein
antibiotic-resistance protein
multiple antibiotic resistance protein
peptide antibiotic resistance protein
putative antibiotic resistance (acetyltransferase) protein
multiple antibiotic resistance (MarC)-like protein
MULTISPECIES: peptide antibiotic resistance protein
resistance to heterologous antibiotics
antimicrobial resistance protein Mig-14
multiple antibiotic resistance MarC-like protein
antibiotic resistance protein VanZ
MULTISPECIES: antibiotic resistance protein VanZ
MULTISPECIES: antimicrobial resistance protein Mig-14
biofilm peroxide resistance protein
putative multiple antibiotic resistance protein MarR
multiple antibiotic resistance protein MarB
microbial anti-inflammatory protein
"MULTISPECIES: antibiotic resistance protein VanZ, partial"
antimicrobial peptide resistance and lipid A acylation PagP
resistance protein
5-nitroimidazole antibiotic resistance protein NimA
putative toxic compound resistance protein
VirK family antimicrobial peptide resistance protein
putative resistance protein
MULTISPECIES: multiple antibiotic resistance protein MarB
multiple antibiotic resistance transcriptional regulator
aminoglycoside/hydroxyurea antibiotic resistance kinase
MULTISPECIES: antimicrobial peptide resistance and lipid A acylation PagP
MULTISPECIES: Antimicrobial peptide resistance and lipid A acylation PagP
MULTISPECIES: VirK family antimicrobial peptide resistance protein
putative multidrug resistance protein
ErmCL family antibiotic resistance leader peptide
bacteriophage resistance gene pglY
multidrug resistance protein
MULTISPECIES: ErmCL family antibiotic resistance leader peptide
putative albicidin resistance protein
putative antibiotic immunity protein
MULTISPECIES: Aminoglycoside/hydroxyurea antibiotic resistance kinase (fragment)
antibiotic ABC transporter
antibiotic transporter
